UID,RID,,
,1,Cybelle'sPizza,Oakland
,2,EspressoGourmetCaffe,Oakland
,3,BlessedGarden,Oakland
,4,MarhabaHalalPakistan&IndianCuisine,Oakland
,5,MaMeHouse,Oakland
,6,Hi-LifePizza,Oakland
,7,BiryaniKabab,Oakland
,8,ShebaDining,Oakland
,9,LaSalsaFreshMexicanGrillOakland,Oakland
,10,CityCenterPizzeria(FormerlyMr.PizzaMan),Oakland
,11,Max'sDinerandBar,Oakland
,12,SanFranciscoSoupCompany,Oakland
,13,Henry'sGalleryCafe,Oakland
,14,HunanRestaurant,Oakland
,15,ZayaCafe,Oakland
,16,Tambo,Oakland
,17,LotusFalafel&Shawarma,Oakland
,18,Mama'sVietnameseCuisine,Oakland
,19,ShanDongRestaurant,Oakland
,20,KasagoSushi,Oakland
,21,Buma'sPizzeria,Oakland
,22,SumYeePastry,Oakland
,23,ChinaStarExpress,Oakland
,24,MacKhai,Oakland
,25,BasilPizzeria,Oakland
,26,Soprano'sPizza,Oakland
,27,HongKongFastFood,Oakland
,28,PizzaLove,Oakland
,29,BoleEthiopianRestaurant,Oakland
,30,HouseOfCurries,Oakland
,31,RoundTablePizza#936,Oakland
,32,LaEstrellita,Oakland
,33,OasisFoodMarket,Oakland
,34,YangChowRestaurant,Oakland
,35,HolyLand,Oakland
,36,BangkokPalace,Oakland
,37,MissSaigon,Oakland
,38,FlavorsofIndia,Oakland
,39,SliceofHollywood,Oakland
,40,ChinaGarlic,Oakland
,41,Cybelle'sOnPiedmont,Oakland
,42,Vegan&TikkaMasala,Oakland
,43,FortuneCookieinOakland,Oakland
,44,ItabaKitchen&SushiBar,Oakland
,45,CafePortofinoPizza,Oakland
,46,Ohgane,Oakland
,47,Sushiya,Oakland
,48,ChinaHut,Oakland
,49,RajIndianCuisine,Oakland
,50,TomoRamen&Sushi,Oakland
,51,PurplePepperPizza,Oakland
,52,PizzaNation,Oakland
,53,RoundTablePizza#979,Oakland
,54,PhillyCheeseSteakandMore,Oakland
,55,KhanaPeenaIndianCuisine,Oakland
,56,Pastino'sPasta&Pizza,Oakland
,57,BananaBlossom,Oakland
,58,AmericanNaturalFood&Cafe,Oakland
,59,Becky'sChineseRestaurant,Oakland
,60,Judy'sBurgers,Oakland
,61,FortuneRestaurant,Oakland
,62,Cybelle'sPizza,Oakland
,63,Kim'sChineseFood,Oakland
,64,PizzaGuys,Oakland
,65,3SeasonsThaiBistro,Oakland
,66,GreatWallRestaurant,Oakland
,67,LasMarianasRestaurant,Oakland
,68,WingWahChineseRestaurant,Oakland
,69,FlavorsIndiaBistro,Oakland
,70,ChinaPackKitchen,Oakland
,71,KingKongChineseRestaurant,Oakland
,72,RoundTablePizza#918,Oakland
,73,SushiGoGo,Oakland
,74,FiestasPizza,Oakland
,75,Hegenburger,Oakland
,76,EspressoGourmetCaffe,Oakland
,77,BlessedGarden,Oakland
,78,MarhabaHalalPakistan&IndianCuisine,Oakland
,79,MaMeHouse,Oakland
,80,Hi-LifePizza,Oakland
,81,BiryaniKabab,Oakland
,82,ShebaDining,Oakland
,83,LaSalsaFreshMexicanGrillOakland,Oakland
,84,CityCenterPizzeria(FormerlyMr.PizzaMan),Oakland
,85,Max'sDinerandBar,Oakland
,86,SanFranciscoSoupCompany,Oakland
,87,Henry'sGalleryCafe,Oakland
,88,HunanRestaurant,Oakland
,89,ZayaCafe,Oakland
,90,Tambo,Oakland
,91,LotusFalafel&Shawarma,Oakland
,92,Mama'sVietnameseCuisine,Oakland
,93,ShanDongRestaurant,Oakland
,94,KasagoSushi,Oakland
